解除好友2：暗网,7.9,3,比起前作好一点吧,2018-09-16 17:33:31
解除好友,6.5,2,题材新鲜，其他都很普通,2018-09-16 13:58:40
史密斯夫妇,7.6,4,好玩的电影还是稀少，布拉德皮特太嫩了,2018-09-02 14:01:39
可爱的骨头,7.1,3,好看的只有罗南妹子,2018-09-01 22:16:41
遗传厄运,7.2,4,还不错，感觉好的恐怖片都跟宗教信仰有一定关系，此片也不例外,2018-08-26 23:53:01
疯狂的麦克斯,6.2,2,不是很能欣赏这种老片，太噪了,2018-08-26 21:24:41
瞒天过海：美人计,6.8,4,爽片，观影感很棒,2018-08-25 22:28:16
银河护卫队,8.0,3,合格爆米花,2018-08-19 20:21:36
异次元骇客,8.3,4,结局有点亮，引诱老公进入模拟世界，并让他死在里面，从而被她老公附身的情人成功进入外壳世界,2018-08-19 10:51:52
蓝色茉莉,7.9,5,很喜欢这种快节奏啊，凯特和莎丽霍金斯的演技也很棒啊,2018-08-17 22:34:59
侏罗纪世界,7.7,4,感觉还不错，真有种侏罗纪的感觉,2018-08-13 01:42:01
花容月貌,7.4,3,女主有点莫名其妙就当妓女啊,2018-08-12 21:51:48
帕丁顿熊2,8.1,3,不觉得很好看啊，剧情也太弱了吧。,2018-08-12 17:23:09
实习生,7.7,3,新颖的职场电影，感情线也很清晰。,2018-08-12 17:20:03
迷雾,7.8,4,男主最后毫不犹豫连开四枪有点假，至少儿子那边要犹豫下吧。,2018-08-12 11:31:28
死侍2,7.5,3,一般般，流水化,2018-08-11 20:37:35
怪物史瑞克4,7.5,3,之前的平行时空设定感觉很突兀，之后的解救所有怪物也有悖论，史莱克也算怪物，拿他自己换所有怪物，是不是能解救他自己呢？,2018-08-08 12:58:27
少林足球,7.5,4,少林功夫+足球的题材也是独树一帜吧,2018-08-07 12:56:48
帕丁顿熊,7.6,3,中规中矩的感觉,2018-08-06 00:12:39
午夜巴黎,8.2,4,艺术家的世界不是常人所能理解的,2018-08-05 22:13:47
怪物史瑞克3,7.2,3,比2好一点，剧情较完整,2018-08-05 19:26:51
落水狗,8.3,3,处女作略显稚嫩啊,2018-08-05 17:16:02
怪物史瑞克2,7.5,2,这部没什么亮点啊,2018-08-05 14:24:45
怪物史瑞克,7.9,3,音乐是真不错,2018-08-05 11:18:04
阿金,7.0,3,电影频道看的,2018-08-05 07:20:25
我的野蛮女友,8.1,3,剧情有点尬长,2018-08-04 23:13:11
了不起的狐狸爸爸,8.4,4,韦斯安德森风格太浓烈了,2018-08-04 00:47:52
卧虎藏龙,8.0,5,太美了，摄影美，音乐美，年轻的章子怡美，连杨紫琼也风韵犹存。剧情也好，有张有弛，竹林那场戏很棒。唯一的缺点恐怕是普通话不够标准，有点读词的味道。,2018-08-04 00:47:28
神秘巨星,7.7,3,家暴，母爱，梦想，题材很好，音乐很棒，但后面有点强行煽情的意思了，三星半。,2018-08-01 00:31:44
黑鹰坠落,8.6,3,非军事迷，觉得电影总体来说太单调了，没有吸引看下去的欲望。,2018-07-29 20:49:58
西虹市首富,6.7,3,笑点很多，合格的喜剧电影吧,2018-07-29 16:48:38
妈妈咪呀,7.5,3,传统的歌舞喜剧，真没什么亮点，梅姨的表现也一般,2018-07-28 17:15:21
无问西东,7.6,3,唯一的亮点大概是叙事结构了吧,2018-07-28 00:07:23
朱诺,7.9,4,很棒的青春电影啊，女主很酷,2018-07-25 19:52:48
我的个神啊,8.4,4,有脑洞有深度，阿米尔汗演技也牛逼,2018-07-25 17:44:56
天才少女,8.2,3,一般吧，不过算是不那么套路的天才电影，有特点,2018-07-25 13:53:24
他是龙,7.4,3,整个一童话故事啊，龙抓走了姑娘，姑娘爱上了龙，然后幸福的生活在了一起,2018-07-25 10:50:03
芳华,7.7,3,抛开情怀来说，真是没什么故事性啊，而且还这么慢节奏,2018-07-24 23:09:43
一代宗师,7.8,3,从头到尾只看到了装逼，人物饱满吗？剧情合理吗？甚至都有种主角是叶问还是宫二的错觉。,2018-07-24 13:16:28
秘书,7.1,2,打5星的很多都是SM吧，这也能5星，还能洋洋洒洒写一堆的，真是厉害的,2018-07-22 17:39:23
国家宝藏,7.6,3,宝藏类电影的套路都是交给国家吗😂,2018-07-22 12:15:50
他其实没那么喜欢你,7.7,4,不错，挺好的,2018-07-22 09:50:38
X战警：第一战,8.2,4,算是不错的超级英雄系列电影吧,2018-07-21 20:36:50
